TOT,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyrajabrachyurops,Chimaeramonstrosa,Dalatiaslicha,Dipturusoxyrinchus,Etmopterusspinax,Galeusmelastomus,Mustelusasterias,Mustelusmustelus,Myliobatisaquila,RSH,RSS,Rajaasterias,Rajaclavata,Rajamiraletus,Rajapolystigma,SSH,SSS,Scyliorhinuscanicula,Squalusblainville,Torpedomarmorata,Torpedotorpedo,DC,SPOM,BD
DNS,7.79465e-07,-0.000183273,-4.76214e-06,5.71966e-05,1.47371e-05,0.00142019,0.000203059,0.000194595,7.71234e-06,-0.000408456,-0.00275817,-0.00256193,2.61092e-05,-4.24088e-05,-0.000127151,-0.00030184,-0.00131253,-0.00827866,-0.00027755,-0.00383888,-0.0065113,-0.00354376,0.00013052,-0.000472486,-0.0168253,-0.00377158,0.000868351,-0.00417294,-0.00381222,0.0107587,-0.00301711,-0.00461097,-0.000240161,-0.00859878,0.972159,0.0015597,-0.0240564,0.00133828,-0.00254457,-0.00636066,0.0521507,-0.0026322,-0.00237321,-0.00566987,0.00188082,2.25559e-05,0.000853259,-1.04298e-05,-6.57849e-05,0.00068019,-1.56786e-06,0.0143117,-0.00701758,-0.0020093,0.174896,-0.00322628,0.0100222,0.0570533,0.0106538,0.0907661,-0.00150865,0.0748011,0.00978687,0.0253136,0.00747728,1.1035e-05,6.45231e-07,2.90748e-05,-0.000143032,-3.9009e-05,-0.000991755,8.45094e-06,4.53007e-05,1.93119e-06,2.86712e-05,-3.62414e-06,-2.22834e-06,-0.00034004,-5.77011e-05,2.53528e-07,4.41433e-05,-0.00018385,-0.000517872,1.27564e-05,1.31789e-05,2.46795e-05,-0.044228,-0.0410945,0.152954
DNH,4.23478e-06,0.000162003,1.67303e-05,5.50855e-05,0.000120731,0.00229529,-0.000934926,0.000268441,1.95346e-05,9.86294e-06,0.000306123,0.000455994,3.23782e-05,-7.12895e-05,-0.000773553,-0.0243345,-0.000741758,-0.0121725,-0.000368362,0.00300581,-0.0282066,-0.0183074,0.000122534,-0.00512955,-0.00571555,0.00122181,0.00107202,-0.0406254,-0.00363515,0.0026919,-0.0208737,0.00236066,0.00032673,0.000948552,-0.0082455,0.971413,-0.00892205,-0.00669653,-0.000660621,-0.000156193,0.140939,0.00689251,0.00151542,-0.0127977,-0.00176967,-0.000109072,0.0173646,-1.73719e-05,1.96894e-05,8.37871e-05,-7.68018e-07,0.0161059,-0.00583836,0.000257819,-0.00558663,-0.0292029,-0.011413,-0.0317492,0.0133091,0.0939722,-0.00234854,0.066726,0.00997203,0.0180601,0.0474999,-0.000195701,-1.81436e-06,-1.47892e-06,-0.000454192,-3.21522e-06,6.01172e-05,-0.000218509,-0.00109758,-0.000126823,-0.00400653,-1.30293e-05,-0.000504167,-0.00646816,-0.00932379,-0.000309454,-0.00023909,1.35057e-05,-0.000152144,3.06821e-05,2.27997e-05,3.67962e-05,0.0822563,0.0244459,0.101037
DRS,-7.80373e-07,0.000565181,1.45668e-05,3.65345e-05,0.000139981,0.00137215,0.000471282,0.00053525,-8.36605e-05,-0.000136648,1.34246e-05,-4.77965e-05,2.7876e-06,-4.81594e-05,1.80058e-05,1.13052e-05,-7.85249e-05,-0.000870688,0.000147418,-8.49673e-07,-0.00679862,-0.0166104,0.000271658,0.000309768,-0.00444983,0.00110014,0.000688416,-0.000788359,-0.00012371,0.00776822,-0.000146349,-0.115954,0.000616718,-0.00319759,0.0404313,-0.00200505,0.957796,-0.00307419,-0.00192672,-0.00754495,0.0372825,0.014438,0.020638,0.0842437,0.00593819,-0.000419733,-0.00486443,-1.0002e-05,-9.1054e-05,0.000374671,-1.59247e-06,0.0293791,0.0641672,6.57036e-06,0.0211703,0.00740637,0.010137,0.0619273,0.00131222,0.0535808,0.0131466,0.0651993,0.0228478,0.0197642,0.013122,1.36943e-05,-4.20863e-06,-0.000113725,-8.35022e-05,0.000192452,0.000268021,3.89678e-06,-0.000243599,-2.97292e-06,4.94183e-05,-3.67247e-06,2.30333e-05,-0.000132246,0.000290353,9.66522e-07,7.93258e-05,0.000229976,0.000182277,8.7848e-05,4.84629e-05,9.1552e-06,0.163622,-0.0733538,0.0528189
DRH,1.54684e-07,-0.000331405,-0.00312419,1.02906e-05,0.0001353,0.000436637,-4.60623e-05,0.000232163,8.00455e-06,3.89949e-06,-5.38545e-06,-0.00177485,4.30627e-06,-0.000160476,-0.00279863,0.000356864,-9.60318e-05,-0.00110815,-0.000122791,0.000612649,-0.0147793,-0.00668278,0.000455914,-0.0296654,-0.00701024,0.00133813,0.00105654,0.00259411,-0.00473465,0.00370416,-0.0395391,0.0023719,0.000843989,0.000903908,-0.00635965,-0.0153264,-0.00972309,0.975981,-0.000734675,-0.000307994,0.154706,-0.00930681,0.0650739,-0.00480473,-0.0083548,-0.000263265,-0.00420639,-1.98595e-05,-0.00276252,0.000242309,-1.6471e-06,0.00194739,-0.00256786,0.00025848,-0.00284202,-0.0101837,-0.0133958,-0.00545089,0.00731956,0.0817382,-0.000941667,0.0727107,0.0143385,0.0115676,0.0314172,-0.000240782,6.50892e-06,-1.77439e-06,-0.00018145,8.71381e-07,0.000115696,0.000121007,-0.00614401,-0.000149758,-0.00525933,-4.31039e-06,-0.00626615,-0.00580537,-0.0212267,-5.05172e-05,0.000342866,6.24031e-05,0.000335767,9.67842e-05,4.99331e-05,8.58654e-05,0.14399,-0.00740385,0.0714797
ARF,-7.42891e-08,-3.36386e-05,-2.19499e-05,1.09669e-05,6.79558e-05,0.000340312,8.36694e-05,0.000468087,-6.98008e-05,-0.000113866,-0.000713134,3.13023e-05,2.50777e-06,-8.89578e-05,-0.000242184,-2.48441e-05,-0.00012912,-0.000795528,-7.33564e-05,-0.000720069,-0.00560668,-0.00518934,0.000108605,-0.000797958,-0.0311178,-0.00033766,0.00214509,-0.001901,-0.00571786,0.00436942,-0.00573766,-0.000144901,-0.000282993,0.000838994,0.0225474,-0.00677258,-0.013033,-0.00438605,0.994584,-0.00408432,0.198753,0.328339,0.0188142,0.0282693,-0.00190578,-0.000562043,-0.00563039,-2.20838e-05,-0.00046829,5.3582e-05,-2.44777e-06,0.0165326,0.0502141,-0.000463906,0.0415262,0.0213839,-0.00368733,0.0951163,0.0306343,0.000454091,0.0108864,0.0265616,0.0355257,0.0260841,0.0265795,-6.21151e-07,-0.000149507,-2.74462e-06,-0.00034479,1.37416e-06,-3.09308e-06,-7.39501e-06,0.00018238,-6.53862e-05,-0.000227978,-3.74744e-05,1.43915e-05,-0.000155951,-0.000673946,-1.94018e-06,2.98574e-05,-6.07005e-06,7.40159e-05,-1.4692e-05,1.70571e-05,1.37945e-05,0.109904,-0.121693,0.0679123
PWL,5.7196e-07,2.02229e-05,-2.76069e-05,2.20623e-05,0.000109098,0.0044214,0.00043984,0.000129625,-7.13192e-05,-0.000155614,-0.00175426,-0.00175371,-2.029e-05,-9.24811e-05,-0.000465296,-0.000417312,-0.000321059,-0.0278274,-0.000236086,-0.000634174,-0.00534963,-0.00432041,9.70604e-05,-0.00107949,-0.0169125,-0.00215226,0.00164803,-0.00690528,-0.00290953,0.0101843,-0.00366121,-0.0044978,-0.000280358,-0.000847079,0.0486889,-0.00492474,0.0278767,-0.00308567,-0.00406547,0.994561,0.0441772,0.249557,0.0691716,0.130408,0.0505237,-0.000508225,-0.0051746,-2.31084e-05,-0.000581984,-0.000190307,-3.19425e-06,0.0048633,0.0483102,-0.00132441,0.135735,0.0303748,0.00993103,0.0716906,0.00828421,0.0177587,0.0108933,0.0401907,0.0422629,0.0340953,0.028188,3.67381e-06,-0.000114296,-3.16293e-06,-0.000123471,7.66021e-06,-5.4364e-05,-1.97886e-05,-0.000291937,-5.04587e-05,-0.00015064,-2.4658e-05,1.50423e-05,-0.00265974,-0.000527229,-1.22273e-06,1.41259e-05,7.25602e-06,2.75378e-05,6.30934e-06,1.46367e-05,2.11352e-05,0.0384042,-0.0581817,0.0324162
SUP,1.60917e-06,7.81939e-06,-1.99141e-05,1.48623e-05,8.72051e-06,0.000386646,0.000180896,0.00058847,1.11958e-05,-1.87524e-05,8.84576e-05,3.10842e-05,-1.47774e-06,-0.000109308,-0.000332347,0.000190267,2.84755e-05,0.0010256,6.11551e-05,-0.000798785,-0.0178732,-0.0119858,0.000419929,-0.000713095,-0.0305742,0.000138518,0.00153882,0.00147925,-0.0252855,-0.0115411,-0.0113681,-0.00770252,-3.27476e-05,0.000842467,-0.00994788,-0.00687047,-0.0051191,-0.00299846,-0.00132871,-0.000152358,0.869135,-0.0127814,-0.0050862,-0.0308994,0.00739976,7.6662e-05,-0.000146179,-3.18049e-05,-4.09481e-05,-0.000466688,-3.94461e-06,-0.00483005,-0.00309498,-0.000175486,-0.00543584,-0.0170252,-0.0204705,0.00454583,0.163604,0.108061,-0.00133042,0.0921711,0.0407246,0.023208,0.0350275,2.22722e-05,5.91976e-06,-1.45034e-05,-2.95084e-05,8.68647e-06,1.57736e-05,1.89601e-05,0.000209949,5.2576e-06,9.4401e-05,1.50809e-07,3.68402e-05,0.000232803,-0.000117107,3.28331e-06,9.12531e-05,-6.85218e-05,0.000185401,-0.000149507,3.99292e-05,2.88164e-05,-0.00512284,-0.0334455,0.160977
MbO,-8.16035e-07,0.000111583,-5.72605e-05,5.09025e-06,7.87085e-05,-2.26281e-05,-1.08318e-05,0.000677789,6.82089e-06,4.52943e-05,-0.000147754,9.22408e-05,3.09549e-06,-8.78405e-05,-0.000527992,-0.000392471,-0.000303408,-0.000660644,-0.000281681,-0.000620668,-0.00063884,-0.00200622,-0.000127241,-0.00210529,-0.0322651,3.1202e-05,0.00254067,0.000310195,0.00173836,0.00367397,-0.00720234,0.00109215,-0.00103563,0.00134607,0.00202354,-0.0100918,-0.0246334,-0.0070794,-0.0121581,-0.00931645,-0.0271828,0.918265,0.0326791,0.0789392,-0.000634621,-0.00131705,-0.0115157,-4.13102e-05,-0.00131137,-0.000116281,-4.90528e-06,-0.0214385,-0.00297687,-0.000274872,-0.00609109,-0.00233195,-0.011449,0.0530544,-0.110203,0.011822,-0.000705782,0.00510138,0.0499256,0.0836987,0.0550484,-2.92333e-05,-0.000420617,-2.01375e-06,-0.000411279,2.23305e-06,0.000109158,-3.68115e-05,0.000206984,-0.000184017,-0.000739215,-8.9534e-05,-7.18393e-06,-0.000852048,-0.00212204,-8.59553e-06,-2.15853e-05,2.40083e-05,-4.09906e-05,2.39116e-05,4.77327e-06,1.01045e-05,0.124678,-0.0919482,0.190387
MbFF,2.70891e-07,-4.45167e-05,-0.000370958,-9.6307e-07,-2.59736e-05,-3.06564e-05,-0.00104437,-0.00118577,9.61643e-06,-1.05524e-07,2.04016e-05,1.29157e-05,-4.55545e-07,4.99133e-05,-0.00151855,-0.000331554,-0.000909689,0.000249436,0.0001107,0.000248126,-0.000858234,9.34891e-05,0.000109763,-0.00139248,0.000977381,-0.00110521,-0.000231861,-1.53076e-05,0.000966718,-0.0036865,-0.000777624,0.000777353,0.000297148,-0.000117169,-0.0043127,0.00127835,-0.00303413,-0.00985235,0.0010231,-0.0037802,-0.036506,-0.0882011,0.983999,-0.0565257,-0.0300472,-0.000239498,-0.00691418,-1.88707e-05,-0.00161094,-0.0012748,-7.82753e-06,-0.00400374,-0.00254296,-0.000427919,-0.00358897,-0.016569,-0.00253397,-0.0894404,-0.0448776,0.15039,-0.00116314,0.121602,0.0840685,0.00300299,-0.00855083,1.99563e-06,3.98093e-05,1.42087e-06,4.49387e-05,-9.5828e-07,-1.82991e-05,-1.35102e-05,0.000109379,-7.98686e-06,5.19099e-05,8.79496e-06,7.65613e-05,2.22073e-05,0.000298236,5.59951e-07,-8.73955e-06,-3.431e-06,-3.61274e-05,-2.80263e-06,-2.02117e-06,7.98758e-06,-0.0630064,0.109921,0.0583012
MbDF,3.03845e-07,1.38346e-05,0.000116974,-7.95997e-07,-3.95846e-05,-0.000216435,-3.40649e-05,-0.000137071,4.00051e-06,1.78881e-06,1.78576e-05,-1.06315e-05,-5.48023e-07,6.6192e-05,-0.000148963,-0.00146884,-0.000259163,0.000175578,-0.000618494,0.000203604,-0.00291668,0.000440553,3.86901e-05,-0.000800914,-0.0024589,-0.000338471,-9.0157e-05,-0.000235417,0.00135655,-0.00458122,0.000909122,0.000981169,-0.000752787,-4.88157e-05,-0.00641209,0.00102068,-0.00400834,0.00146817,0.00147314,-0.000737421,-0.0578346,-0.0802619,-0.0156816,0.893967,-0.0551958,-0.00237489,-0.00563644,-8.01265e-05,-0.00111418,-0.0015181,-9.18457e-06,-0.00618432,-0.00186267,-0.000279906,-0.00575492,0.00124519,-0.0082293,0.0468744,-0.0426629,-0.00542913,-0.000336434,-0.00607695,0.111575,0.150878,0.101189,5.64318e-06,3.60258e-05,1.6776e-06,2.81251e-05,-2.93853e-07,-1.31459e-05,-1.49279e-05,-8.8231e-05,1.74687e-05,7.77665e-05,7.67473e-06,-8.28279e-07,7.90419e-05,0.000144246,1.14569e-06,-2.55614e-05,-3.24657e-06,-1.92058e-05,-2.3589e-05,-3.64039e-06,-8.33764e-07,-0.063115,-0.0776915,0.129936
MbC,-6.55508e-07,8.62914e-05,-8.38468e-06,-1.43755e-06,2.7319e-05,-3.94137e-05,2.46358e-05,-1.07661e-05,4.11584e-06,2.85611e-05,6.97408e-05,4.46053e-05,-1.08873e-06,-0.000809024,-0.00201531,-0.00251279,-0.00133742,0.00050465,-0.00154436,0.000816516,0.00126373,0.00241143,9.13595e-05,-0.00190893,0.00787594,0.000563139,-0.000209201,0.000937987,0.00434576,0.00115061,-0.00109978,0.00280627,-0.000276075,-3.24858e-05,-0.00557937,-0.00231048,-0.0190375,-0.000455097,0.00138877,-0.00640025,-0.129914,-0.101709,0.0366786,0.247714,0.974419,0.00255397,-0.00871008,2.88953e-06,0.000147387,0.00328239,-3.3541e-06,0.0132661,-0.00126793,-0.000237606,-0.00558067,0.00444525,-0.0070893,0.0567775,-0.111927,0.0124998,-8.31416e-05,0.00554359,0.0303687,0.069678,0.0273984,4.366e-06,4.75365e-05,3.73809e-06,5.96639e-05,-3.99095e-06,1.90972e-05,7.81711e-06,0.000150126,2.13112e-05,0.000153364,1.02542e-05,3.964e-05,0.000248925,0.00048987,2.37113e-06,3.69476e-05,8.94747e-06,7.83205e-05,2.16298e-05,-1.66758e-06,1.5287e-05,0.0412915,-0.0962122,0.225185
MbPAR,-1.51823e-07,2.27976e-05,-1.37932e-05,-8.46267e-07,2.65541e-05,-0.00025639,3.05822e-05,0.000160457,4.16861e-06,2.99125e-05,1.66212e-05,3.4206e-05,-6.41888e-08,7.89665e-05,-0.00243092,-0.000172052,-0.000556649,8.95324e-05,-4.16651e-05,0.000290716,-0.00965466,0.000349969,0.000278282,-0.00339879,-0.00163979,0.000310756,0.00027263,0.000635129,0.000629118,0.000570562,0.000385446,0.0013772,8.47246e-05,0.000240863,-0.000793758,-0.00142154,-0.00475143,-0.00122004,-0.000682234,-0.000297549,-0.00681479,0.04505,0.00805193,0.25959,-0.101573,0.998819,-0.00553083,0.000594918,2.48959e-05,0.00322108,6.19011e-05,0.000215049,-0.00142002,-0.000190499,-0.00333102,0.000508932,-0.00475833,0.0296188,-0.0537523,0.0213553,-0.000267266,0.013201,0.0395602,0.0677598,0.0384299,1.58377e-06,-2.0057e-05,2.85045e-07,-1.97799e-05,-2.80618e-06,1.60932e-05,1.74914e-06,0.00016357,-7.62086e-06,1.80086e-05,-4.42133e-06,3.69565e-05,6.61286e-05,3.01889e-05,2.65584e-07,3.12962e-05,-4.71986e-06,8.4386e-05,-7.35243e-06,1.26492e-06,1.79736e-05,0.0387498,-0.0540005,0.158409
MbSCA,-1.28937e-06,0.00142429,-5.67471e-06,6.66679e-05,8.37974e-05,0.000146327,0.000733773,0.000873237,3.98431e-06,8.43221e-05,0.000132658,7.26804e-05,-3.56146e-06,4.64766e-06,-0.00203111,0.00119572,-0.000619433,0.00163124,-0.00436326,0.000494717,-0.0115093,3.39355e-05,0.000386703,-0.00304286,-0.0187652,0.001587,0.0021226,0.00386578,0.00104987,0.00874848,-0.0157383,-0.00542326,-0.0248886,0.00272606,0.00154425,-0.0580963,-0.0171503,-0.00433243,-0.00135516,-0.00124564,-0.0319527,0.0501935,0.0696537,0.209052,0.00391557,-0.000408975,0.990025,0.000392313,0.000177132,0.00284621,3.95465e-05,-0.00178842,-0.00154011,0.000175032,-0.00310914,0.00213912,-0.0102624,0.0556136,-0.0688766,0.00584268,-0.000239345,0.00448439,0.0371738,0.0584328,0.0283866,1.84784e-05,-2.01756e-05,-4.3551e-06,3.02191e-05,1.43533e-05,0.0001484,1.34843e-05,0.000378805,-3.39307e-06,0.000282109,-3.65644e-06,8.53357e-05,0.000630232,0.000856883,1.79372e-05,0.00013344,4.48728e-05,0.00109494,5.96481e-05,1.65629e-05,3.78311e-05,0.190788,-0.0908795,0.156675
MbH,-3.34275e-07,-0.000100852,0.000991651,-1.2571e-05,-3.41468e-05,-0.00032605,-0.000126798,-0.000420766,-5.22394e-06,-6.32311e-06,-6.33781e-05,-5.09806e-05,2.27745e-07,5.29474e-05,0.000554232,0.000685732,0.000241748,-0.000393959,0.0006191,0.000111008,0.0101322,0.00584677,-0.000241997,-0.00286729,0.0124886,-0.000278433,-0.000890588,-0.000798033,0.0115684,-0.0119702,0.00820861,0.00264599,0.00149418,-0.000620248,0.00573718,0.000387433,0.0125574,0.000612737,0.00174541,0.00196367,-0.406541,-0.0567241,-0.0277975,-0.38353,-0.00374825,-0.0230613,-0.0724719,0.99922,-0.010585,-0.00355525,-2.87752e-05,-0.0233153,0.00185806,-5.50582e-05,-0.00732572,0.0116297,-0.0202359,0.143713,0.243308,-0.115999,0.000785559,-0.0824869,0.333153,0.106784,1.44115,-5.46224e-06,2.51907e-05,6.29068e-06,4.24323e-05,-2.52929e-06,-3.32492e-05,1.09755e-05,1.92333e-05,1.17144e-05,2.13965e-05,6.11177e-06,-1.09294e-05,-6.69417e-05,0.000192864,4.09398e-07,-2.98352e-05,2.83574e-05,-0.00016063,6.97063e-05,-2.06599e-05,-1.76819e-05,-0.0495859,-0.207389,0.0525124
MbGRA,8.29266e-08,0.000219116,-0.088672,1.00859e-05,-2.37186e-05,-0.000138555,6.32442e-06,-3.78574e-05,4.52755e-06,5.37114e-06,-1.12317e-05,4.37688e-05,2.58008e-07,2.30775e-05,-5.52518e-05,-0.000311826,-8.88851e-05,-5.84339e-05,-9.39729e-05,-0.000134359,-0.000512599,-0.000546063,-3.01985e-05,1.12142e-05,-0.00682823,-0.000360836,0.000323033,-0.000342744,0.00135432,-0.00339338,0.000664361,0.000212806,-0.00446386,0.000329898,-0.00159276,3.44474e-05,-0.000972876,-0.0236382,-0.000897534,-0.00111023,-0.0565643,0.0912772,0.0345457,0.154505,-0.027502,-0.00139037,-0.00609932,0.000350131,0.922338,0.00153107,3.55354e-05,-0.00341454,-0.00175274,-0.000367937,-0.00464844,0.00053545,-0.0098868,0.0528048,-0.0874718,0.00624418,-0.000344202,0.00259201,0.0755706,0.104482,0.0726219,5.03787e-06,-4.24665e-05,4.1204e-07,-3.7812e-05,8.06981e-07,9.35421e-07,-9.00453e-06,0.000146045,-1.50151e-05,5.32174e-05,-8.76208e-06,0.000147482,4.09842e-05,0.000256816,4.26325e-07,-9.66414e-06,1.50197e-06,0.000106402,1.03211e-06,-3.48273e-07,-9.95546e-07,-0.0352187,-0.0893738,0.173273
MbSF,2.79195e-07,7.3511e-05,6.48406e-05,-1.11382e-06,-3.83453e-06,0.00158017,0.000135393,7.49491e-05,7.39579e-06,1.54844e-06,0.000326062,0.000498115,3.18634e-05,4.55411e-05,9.50272e-05,8.0061e-05,7.77815e-05,-0.0117712,8.83527e-05,-0.000470939,0.000292376,0.000531198,-2.91399e-05,1.73186e-05,-0.00134213,-7.32696e-05,0.00014664,-0.000822653,0.00182743,-0.00297389,0.000919344,-0.000514043,0.000137453,-0.000145057,-0.0136684,0.00152834,0.00594232,0.00130346,0.000364525,0.000402458,-0.0694487,0.0110961,-0.0148291,-0.0652125,-0.0260953,-0.00129952,-0.00263997,-3.49357e-05,-0.000671545,0.99778,-1.43695e-05,-0.0119188,-0.00164975,2.8414e-05,-0.00747658,-0.0149684,-0.00965142,-0.0737232,-0.0237836,0.11825,-0.000939399,0.102008,0.183406,-0.00738636,-0.0091905,1.9476e-06,-5.94157e-06,1.27583e-07,-2.92652e-06,2.63405e-06,7.85544e-07,1.28861e-06,-4.57925e-05,-1.48998e-06,-1.14157e-05,-9.55678e-07,-9.77368e-06,-1.87931e-05,-0.000111127,-3.63828e-07,-8.85475e-06,9.2333e-06,-3.75415e-05,1.26556e-05,-2.84735e-06,-4.85406e-06,-0.0609895,0.0889797,-0.0105599
MbPF,-4.09595e-06,4.70213e-05,0.00188592,-4.01582e-05,0.000158934,-7.15784e-05,0.000206904,0.00135664,6.34824e-05,0.000139595,-3.12686e-06,-8.76292e-06,-2.60107e-06,0.000253725,0.00130829,0.00157976,0.000649499,0.00049123,0.00118994,0.00113251,0.0140697,0.0155644,-2.08711e-05,0.00318486,0.0360118,0.00268048,-0.000432047,0.00860618,0.0302649,-0.0214981,0.022882,0.0123671,0.00492187,-0.000222433,0.0197821,0.0111678,0.0270058,0.00532618,0.00558401,0.00616383,-0.80218,-0.139073,-0.19946,-0.827198,0.0475438,-0.040055,-0.123843,-0.000551188,-0.0179645,-0.0261746,0.9997780000000001,-0.135678,-0.0107878,-0.00363102,-0.0578648,-0.0888441,0.504932,-2.3809,-1.03747,1.74373,-0.00442004,0.985294,2.45322,0.280437,-0.0373705,-1.87519e-05,6.86338e-05,1.15671e-05,0.000112001,-2.24794e-05,7.7039e-05,-2.86156e-06,-0.000139238,3.10155e-05,0.000128319,1.46898e-05,-4.369e-05,0.000220174,0.000978513,-3.07672e-06,-6.92745e-05,5.62934e-05,-8.13922e-05,0.000180756,-4.86361e-05,-4.04584e-05,-0.0116427,3.32966,1.44845
BO,-5.49432e-07,-2.69434e-05,2.78596e-05,-5.68298e-06,-7.26741e-06,-0.000389875,0.000449489,0.000133886,1.30305e-05,6.13662e-05,0.000275585,0.000117603,-1.30149e-06,-0.00116689,-0.000434966,0.000574895,0.000111382,0.000770449,0.000130318,0.00089176,0.00244338,-0.0418842,9.47869e-05,0.00030014,0.00269396,0.000200123,1.5778e-06,0.00132399,0.00664713,-0.000336541,-0.0328308,0.00992058,0.000708596,0.000922295,-0.0342578,-0.0153207,-0.0307232,-0.00215838,-0.00472912,-0.00143726,-0.209556,0.0736261,-0.0115351,-0.0678744,-0.0181829,-0.000259852,-0.00142132,-4.36231e-05,-0.000248252,-0.00184628,-1.44771e-05,0.976789,-0.0081828,-0.000269501,-0.0137171,0.00331138,0.00300469,0.00204362,0.222693,0.0201995,-0.00148845,0.00246074,0.177755,0.0278249,-0.00518771,3.95181e-05,-3.36709e-05,6.78106e-06,1.9322e-05,-1.70493e-05,1.01446e-05,5.24133e-05,0.000578822,-7.43923e-06,0.000140968,-5.73121e-06,3.74521e-05,0.000237818,0.000275816,7.5762e-06,0.000278745,1.08064e-05,0.000251807,0.000158304,0.000138661,6.05533e-05,0.00323704,-0.0174889,0.193922
